Address,X,Y,Price,Type,Size,Squaremeter price,Energy class,Url
Tovesvej 20A,55.815992,12.519117,13900000,Villa,294,47278,A2015,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/tovesvej-20a/
"Linde Alle 1, 1. 1",55.819751,12.534526,4195000,Ejerlejlighed,124,33830,A2010,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/linde%20alle-1/1-1/
Haugesundvej 1,55.812492,12.526507,4495000,Rækkehus,124,36250,D,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/haugesundvej-1/
Svalegabet 6,55.812217,12.51453,6450000,Villa,150,43000,E,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/svalegabet-6/
"Skodsborgvej 302, 1. th",55.814956,12.533038,1775000,Ejerlejlighed,64,27734,D,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/skodsborgvej-302/1-th/
Bredland 5,55.812425,12.540154,8995000,Villa,188,47845,B,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/bredland-5/
"Rundforbivej 265, st. d",55.819472,12.530197,1895000,Ejerlejlighed,72,26319,E,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/rundforbivej-265/st-d/
Egehegnet 119,55.816214,12.523425,2795000,Rækkehus,95,29421,B,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/egehegnet-119/
Skyttedal 16,55.823568,12.542768,5795000,Villa,128,45273,D,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/skyttedal-16/
Colbjørnsensvej 8,55.817895,12.540231,5995000,Villa,134,44738,D,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/colbj%C3%B8rnsensvej-8/
Skyttebjerg 48,55.821815,12.539594,8995000,Villa,174,51695,C,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/skyttebjerg-48/
Nærum Hovedgade 45,55.81995,12.536227,4495000,Villa,63,71349,E,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/n%C3%A6rum%20hovedgade-45/
Hegnsvej 131,55.810894,12.541786,5350000,Rækkehus,108,49537,C,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/hegnsvej-131/
Skodsborgvej 325,55.817178,12.538917,4750000,Villa,92,51630,G,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/skodsborgvej-325/
"Nærum Hovedgade 21, 2. tv",55.818917,12.531233,2395000,Ejerlejlighed,71,33732,D,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/n%C3%A6rum%20hovedgade-21/2-tv/
Skyttedal 2,55.824292,12.542683,3995000,Rækkehus,93,42956,F,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/skyttedal-2/
Egehegnet 65,55.815645,12.523506,3995000,Rækkehus,99,40353,B,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/egehegnet-65/
Nærumgårdsvej 4K,55.818978,12.535911,5295000,Rækkehus,112,47276,A2010,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/n%C3%A6rumg%C3%A5rdsvej-4k/
"Langebjerg 14, 4. tv",55.813386,12.526931,3995000,Ejerlejlighed,112,35669,C,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/langebjerg-14/4-tv/
Hegnsvej 26,55.816424,12.543536,7995000,Villa,167,47874,D,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/hegnsvej-26/
Lyngdalen 2,55.813648,12.51608,7995000,Villa,208,38437,D,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/lyngdalen-2/
Egehegnet 121,55.816256,12.523399,3450000,Rækkehus,99,34848,C,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/egehegnet-121/
Hartmanns Plads 2D,55.820225,12.535901,4595000,Rækkehus,100,45950,C,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/hartmanns%20plads-2d/
Skodsborgvej 209,55.813948,12.517857,4795000,Villa,147,32619,E,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/skodsborgvej-209/
Ystadvej 1,55.813574,12.525747,4695000,Rækkehus,124,37862,D,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/ystadvej-1/
"Linde Alle 1, 2. 4",55.819751,12.534526,4695000,Ejerlejlighed,127,36968,A2010,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/linde%20alle-1/2-4/
Ystadvej 19,55.813567,12.524724,5995000,Rækkehus,109,55000,C,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/ystadvej-19/
"Nørum Hovedgade 75, st. tv",55.82079605495381,12.538515811024835,1495000,Ejerlejlighed,60,24916,D,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/n%C3%A6rum%20hovedgade-75/st-tv/
"Langebjerg 38, 3. mf",55.81111,12.528131,2495000,Ejerlejlighed,69,36159,C,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/langebjerg-38/3-mf/
Langebjerg 46,55.810748,12.526983,4750000,Rækkehus,120,39583,C,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/langebjerg-46/
Skodsborgvej 221B,55.815245,12.519463,9995000,Villa,158,63259,E,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/skodsborgvej-221b/
Egehegnet 103,55.815859,12.523351,3695000,Rækkehus,95,38894,E,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/egehegnet-103/
Ystadvej 18,55.813994,12.525326,4250000,Rækkehus,120,35416,B,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/ystadvej-18/
"Langebjerg 22, 1. tv",55.812605,12.527443,3695000,Ejerlejlighed,112,32991,C,https://www.dingeo.dk/adresse/2850-n%C3%A6rum/langebjerg-22/1-tv/
