Address,X,Y,Price,Type,Size,Squaremeter price,Energy class,Url
Strandvejen 401,55.77035,12.594995,20000000,Villa,254,78740,E,https://www.dingeo.dk/adresse/2930-klampenborg/strandvejen-401/
Klampenborgvej 35D,55.769742,12.574473,26500000,Villa,313,84664,E,https://www.dingeo.dk/adresse/2930-klampenborg/klampenborgvej-35d/
Strandvejen 651A,55.791668,12.591629,9995000,Villa,178,56151,A2010,https://www.dingeo.dk/adresse/2930-klampenborg/strandvejen-651a/
Dyrehavevej 37,55.775002,12.58496,19995000,Villa,269,74330,E,https://www.dingeo.dk/adresse/2930-klampenborg/dyrehavevej-37/
Emiliekildevej 57,55.765756,12.588908,12995000,Villa,100,129950,G,https://www.dingeo.dk/adresse/2930-klampenborg/emiliekildevej-57/
"Strandvejen 417D, 2. th",55.775673,12.590041,10995000,Ejerlejlighed,129,85232,D,https://www.dingeo.dk/adresse/2930-klampenborg/strandvejen-417d/2-th/
Taarbæk Strandvej 140,55.790928,12.592697,32000000,Villa,157,203821,G,https://www.dingeo.dk/adresse/2930-klampenborg/taarb%C3%A6k%20strandvej-140/
Taarbæk Strandvej 55A,55.784846,12.591787,19995000,Villa,217,92142,E,https://www.dingeo.dk/adresse/2930-klampenborg/taarb%C3%A6k%20strandvej-55a/
Strandvejen 377A,55.767264,12.595298,19800000,Villa,240,82500,D,https://www.dingeo.dk/adresse/2930-klampenborg/strandvejen-377a/
"Taarbækdalsvej 1C, st. 1",55.787781,12.593629,2995000,Ejerlejlighed,51,58725,C,https://www.dingeo.dk/adresse/2930-klampenborg/taarb%C3%A6kdalsvej-1c/st-1/
Krøyersvej 29,55.765769,12.589944,21750000,Villa,209,104066,C,https://www.dingeo.dk/adresse/2930-klampenborg/kr%C3%B8yersvej-29/
"Strandvejen 417C, 3. th",55.775569,12.59004,7695000,Ejerlejlighed,108,71250,D,https://www.dingeo.dk/adresse/2930-klampenborg/strandvejen-417c/3-th/
Dyrehavevej 26,55.775653,12.585231,15995000,Villa,202,79183,D,https://www.dingeo.dk/adresse/2930-klampenborg/dyrehavevej-26/
Schimmelmannsvej 19,55.768835,12.583625,16500000,Villa,134,123134,C,https://www.dingeo.dk/adresse/2930-klampenborg/schimmelmannsvej-19/
Zicavej 6,55.770111,12.592895,12000000,Villa,105,114285,G,https://www.dingeo.dk/adresse/2930-klampenborg/zicavej-6/
Christiansholms Tværvej 14,55.773883,12.58572,27800000,Villa,270,102962,D,https://www.dingeo.dk/adresse/2930-klampenborg/christiansholms%20tv%C3%A6rvej-14/
Vitus Berings Alle 14,55.775248,12.586784,22500000,Rækkehus,251,89641,C,https://www.dingeo.dk/adresse/2930-klampenborg/vitus%20berings%20alle-14/
"Taarbækdalsvej 1C, st. 3",55.787781,12.593629,4295000,Ejerlejlighed,63,68174,C,https://www.dingeo.dk/adresse/2930-klampenborg/taarb%C3%A6kdalsvej-1c/st-3/
Strandvejen 697C,55.792774,12.589887,8495000,Villa,120,70791,E,https://www.dingeo.dk/adresse/2930-klampenborg/strandvejen-697c/
Christiansholms Parkvej 18,55.773879,12.586545,19500000,Rækkehus,222,87837,C,https://www.dingeo.dk/adresse/2930-klampenborg/christiansholms%20parkvej-18/
Strandvejen 300A,55.766472,12.596055,32500000,Villa,227,143171,D,https://www.dingeo.dk/adresse/2930-klampenborg/strandvejen-300a/
Klampenborgvej 6A,55.774151,12.582507,14950000,Villa,271,55166,E,https://www.dingeo.dk/adresse/2930-klampenborg/klampenborgvej-6a/
Strandvejen 623,55.790743,12.591844,11995000,Villa,147,81598,E,https://www.dingeo.dk/adresse/2930-klampenborg/strandvejen-623/
Exnersvej 29,55.765104,12.592456,32000000,Villa,244,131147,F,https://www.dingeo.dk/adresse/2930-klampenborg/exnersvej-29/
Christiansholmsvej 2,55.774344,12.583773,14650000,Villa,206,71116,F,https://www.dingeo.dk/adresse/2930-klampenborg/christiansholmsvej-2/
Borgmester Jørgensens Vej 9,55.773831,12.580349,11900000,Villa,195,61025,E,https://www.dingeo.dk/adresse/2930-klampenborg/borgmester%20j%C3%B8rgensens%20vej-9/
Rosavej 10B,55.767099,12.594103,26500000,Villa,239,110878,E,https://www.dingeo.dk/adresse/2930-klampenborg/rosavej-10b/
Christiansholms Parkvej 12,55.774017,12.586819,25000000,Rækkehus,279,89605,C,https://www.dingeo.dk/adresse/2930-klampenborg/christiansholms%20parkvej-12/
Taarbæk Strandvej 105L,55.789301,12.592217,4195000,Ejerlejlighed,70,59928,C,https://www.dingeo.dk/adresse/2930-klampenborg/taarb%C3%A6k%20strandvej-105l/
