Address,X,Y,Price,Type,Size,Squaremeter price,Energy class,Url
"Nørgaardsvej 27, 2. th",55.770647,12.508193,1595000,Ejerlejlighed,44,36250,E,https://www.dingeo.dk/adresse/2800-kongens%20lyngby/n%C3%B8rgaardsvej-27/2-th/
Gammelmosevej 218,55.756103,12.480264,4495000,Rækkehus,113,39778,C,https://www.dingeo.dk/adresse/2800-kongens%20lyngby/gammelmosevej-218/
Danmarksvej 43A,55.794678,12.517936,7695000,Villa,182,42280,D,https://www.dingeo.dk/adresse/2800-kongens%20lyngby/danmarksvej-43a/
Stengårdsvænge 103,55.759154,12.482144,5295000,Rækkehus,102,51911,C,https://www.dingeo.dk/adresse/2800-kongens%20lyngby/steng%C3%A5rdsv%C3%A6nge-103/
Buddingevej 110,55.758719,12.494712,8750000,Villa,188,46542,D,https://www.dingeo.dk/adresse/2800-kongens%20lyngby/buddingevej-110/
Gammel Lundtoftevej 13,55.775416,12.501682,3995000,Villa,78,51217,E,https://www.dingeo.dk/adresse/2800-kongens%20lyngby/gammel%20lundtoftevej-13/
"Hollandsvej 13, st. th",55.764643,12.50608,2150000,Ejerlejlighed,55,39090,D,https://www.dingeo.dk/adresse/2800-kongens%20lyngby/hollandsvej-13/st-th/
"Lyngby Hovedgade 11B, 3. th",55.772716,12.501409,2595000,Ejerlejlighed,58,44741,D,https://www.dingeo.dk/adresse/2800-kongens%20lyngby/lyngby%20hovedgade-11b/3-th/
Islandsvej 4A,55.796196,12.508581,6195000,Rækkehus,91,68076,C,https://www.dingeo.dk/adresse/2800-kongens%20lyngby/islandsvej-4a/
Vintappervej 16,55.763259,12.51509,5500000,Villa,149,36912,C,https://www.dingeo.dk/adresse/2800-kongens%20lyngby/vintappervej-16/
Danmarksvej 42A,55.794818,12.518472,5995000,Villa,98,61173,E,https://www.dingeo.dk/adresse/2800-kongens%20lyngby/danmarksvej-42a/
Skovsvinget 26A,55.790367,12.540233,8745000,Villa,187,46764,D,https://www.dingeo.dk/adresse/2800-kongens%20lyngby/skovsvinget-26a/
Vejporten 97,55.794962,12.541163,7495000,Villa,167,44880,E,https://www.dingeo.dk/adresse/2800-kongens%20lyngby/vejporten-97/
Nybrovej 198,55.766166,12.48733,8795000,Villa,160,54968,D,https://www.dingeo.dk/adresse/2800-kongens%20lyngby/nybrovej-198/
Fuglevadsvej 12,55.780774,12.501533,9495000,Villa,140,67821,E,https://www.dingeo.dk/adresse/2800-kongens%20lyngby/fuglevadsvej-12/
Hjortekærbakken 30,55.799086,12.539325,6495000,Villa,107,60700,G,https://www.dingeo.dk/adresse/2800-kongens%20lyngby/hjortek%C3%A6rbakken-30/
"Eremitageparken 101, 2. c",55.791816,12.533442,1795000,Ejerlejlighed,62,28951,D,https://www.dingeo.dk/adresse/2800-kongens%20lyngby/eremitageparken-101/2-c/
Ørholm Stationsvej 2,55.799736,12.507206,8495000,Villa,182,46675,E,https://www.dingeo.dk/adresse/2800-kongens%20lyngby/%C3%B8rholm%20stationsvej-2/
"Bagsværdvej 133C, 1. th",55.763156,12.475581,3575000,Ejerlejlighed,94,38031,C,https://www.dingeo.dk/adresse/2800-kongens%20lyngby/bagsv%C3%A6rdvej-133c/1-th/
Havegærdet 17,55.778004,12.5025,6495000,Rækkehus,90,72166,A2010,https://www.dingeo.dk/adresse/2800-kongens%20lyngby/haveg%C3%A6rdet-17/
Eremitageparken 253,55.794358,12.533481,3990000,Rækkehus,110,36272,F,https://www.dingeo.dk/adresse/2800-kongens%20lyngby/eremitageparken-253/
"Buddingevej 72G, 1. tv",55.761336,12.494568,1799000,Ejerlejlighed,56,32125,D,https://www.dingeo.dk/adresse/2800-kongens%20lyngby/buddingevej-72g/1-tv/
Kulsviervej 93B,55.795674,12.513081,6995000,Villa,139,50323,E,https://www.dingeo.dk/adresse/2800-kongens%20lyngby/kulsviervej-93b/
"Mølleåparken 15, 1. tv",55.795233,12.503967,3800000,Ejerlejlighed,81,46913,C,https://www.dingeo.dk/adresse/2800-kongens%20lyngby/m%C3%B8lle%C3%A5parken-15/1-tv/
