Address,X,Y,Price,Type,Size,Squaremeter price,Energy class,Url
Skodsborg Strandvej 11,55.808921,12.57946,25900000,Villa,328,78963,C,https://www.dingeo.dk/adresse/2942-skodsborg/skodsborg%20strandvej-11/
Egemosen 6,55.839031,12.569062,14995000,Villa,160,93718,D,https://www.dingeo.dk/adresse/2942-skodsborg/egemosen-6/
"Solgårdsvej 5, st. tv",55.821209,12.573322,2850000,Ejerlejlighed,88,32386,C,https://www.dingeo.dk/adresse/2942-skodsborg/solg%C3%A5rdsvej-5/st-tv/
Skodsborg Strandvej 268A,55.837174,12.572639,58500000,Villa,466,125536,D,https://www.dingeo.dk/adresse/2942-skodsborg/skodsborg%20strandvej-268a/
Skodsborg Strandvej 105,55.816096,12.574107,7995000,Villa,98,81581,D,https://www.dingeo.dk/adresse/2942-skodsborg/skodsborg%20strandvej-105/
"Skodsborgparken 48, 3. th",55.825326,12.572859,10195000,Ejerlejlighed,135,75518,C,https://www.dingeo.dk/adresse/2942-skodsborg/skodsborgparken-48/3-th/
"Solgårdsvej 2, st. tv",55.82098,12.573817,2658000,Ejerlejlighed,67,39671,D,https://www.dingeo.dk/adresse/2942-skodsborg/solg%C3%A5rdsvej-2/st-tv/
"Høje Skodsborgvej 18, 3. th",55.828176,12.573245,4825000,Ejerlejlighed,91,53021,D,https://www.dingeo.dk/adresse/2942-skodsborg/h%C3%B8je%20skodsborgvej-18/3-th/
"Solgårdsvej 5, st. th",55.821209,12.573322,3350000,Ejerlejlighed,87,38505,C,https://www.dingeo.dk/adresse/2942-skodsborg/solg%C3%A5rdsvej-5/st-th/
"Skodsborg Strandvej 227, 2. 24",55.828657,12.573759,2800000,Ejerlejlighed,43,65116,D,https://www.dingeo.dk/adresse/2942-skodsborg/skodsborg%20strandvej-227/2-24/
"Skodsborg Strandvej 227, 1. 11",55.828657,12.573759,3750000,Ejerlejlighed,46,81521,D,https://www.dingeo.dk/adresse/2942-skodsborg/skodsborg%20strandvej-227/1-11/
Kettebakken 5,55.835794,12.564669,9500000,Villa,148,64189,D,https://www.dingeo.dk/adresse/2942-skodsborg/kettebakken-5/
"Skodsborgparken 24, 5. th",55.822892,12.572894,9995000,Ejerlejlighed,97,103041,C,https://www.dingeo.dk/adresse/2942-skodsborg/skodsborgparken-24/5-th/
"Skodsborgparken 60, 4. tv",55.82613,12.572982,5995000,Ejerlejlighed,82,73109,C,https://www.dingeo.dk/adresse/2942-skodsborg/skodsborgparken-60/4-tv/
"Høje Skodsborgvej 2, st.",55.826768,12.572936,8495000,Ejerlejlighed,126,67420,D,https://www.dingeo.dk/adresse/2942-skodsborg/h%C3%B8je%20skodsborgvej-2/st-/
"Skodsborgparken 42, 3. tv",55.824544,12.572785,5550000,Ejerlejlighed,82,67682,C,https://www.dingeo.dk/adresse/2942-skodsborg/skodsborgparken-42/3-tv/
"Skodsborg Strandvej 215, st. th",55.827066,12.573816,9995000,Ejerlejlighed,157,63662,D,https://www.dingeo.dk/adresse/2942-skodsborg/skodsborg%20strandvej-215/st-th/
"Skodsborg Strandvej 155B, 1. th",55.821295,12.574294,2670000,Ejerlejlighed,60,44500,D,https://www.dingeo.dk/adresse/2942-skodsborg/skodsborg%20strandvej-155b/1-th/
Skodsborg Strandvej 77,55.814336,12.574977,10500000,Rækkehus,127,82677,F,https://www.dingeo.dk/adresse/2942-skodsborg/skodsborg%20strandvej-77/
"Skodsborg Strandvej 155A, 1. tv",55.821149,12.574313,2895000,Ejerlejlighed,57,50789,D,https://www.dingeo.dk/adresse/2942-skodsborg/skodsborg%20strandvej-155a/1-tv/
"Skodsborgparken 34, 3. tv",55.824017,12.572919,5295000,Ejerlejlighed,85,62294,C,https://www.dingeo.dk/adresse/2942-skodsborg/skodsborgparken-34/3-tv/
"Høje Skodsborgvej 24, st. tv",55.828672,12.573425,3795000,Ejerlejlighed,80,47437,D,https://www.dingeo.dk/adresse/2942-skodsborg/h%C3%B8je%20skodsborgvej-24/st-tv/
"Skodsborgparken 30, 4. tv",55.823737,12.572918,5395000,Ejerlejlighed,82,65792,C,https://www.dingeo.dk/adresse/2942-skodsborg/skodsborgparken-30/4-tv/
